Tk,Fold,Model,MAE,RMSE,MAPE,WAPE,sMAPE,MdAPE,MASE
IMOEX,0,RF,12.194354922191474,18.68763558916648,182.8808307177396,116.24742086920408,144.21515503723302,109.97405486254328,2.6008432806359223
IMOEX,0,SARIMAX,14.4660224204386,21.057452230603335,234.08112639543307,137.90297292001875,146.51569915022574,166.74792391743716,3.085350348566439
IMOEX,0,Naive,12.681666374206543,17.650349020816574,193.97982788085938,120.89290618896484,132.5099334716797,171.28591918945312,2.704778316448588
IMOEX,0,sNaive,15.388333320617676,21.015888561311996,247.31491088867188,146.6952667236328,200.0,187.500244140625,3.2820631818974313
IMOEX,0,CatBoost,10.614881996683973,18.190822996410304,111.7337311469596,101.19048222058005,168.41873209012252,92.87479915794844,2.2639692457678033
IMOEX,0,LSTM_base,12.085376739501953,19.74296734337279,173.8937530517578,115.20854187011719,141.3539276123047,160.4576416015625,2.5776001344430757
IMOEX,0,LSTM_att,10.224400520324707,17.344924474591892,89.73693084716797,97.46806335449219,139.8228302001953,92.67774200439453,2.180686355407312
IMOEX,0,Hybrid,10.74791431427002,18.052505209414495,109.1928939819336,102.45866394042969,165.16195678710938,107.51219177246094,2.2923427195192887
IMOEX,1,RF,7.6066357364840504,8.444890842135866,101.65640167870802,100.10927415006672,191.11537291511127,100.79641256831451,1.6375087536450377
IMOEX,1,SARIMAX,6.785169000767187,7.47264083094759,116.61314762907725,89.29812957841258,137.95005380222202,79.97527974076269,1.4606685555384382
IMOEX,1,Naive,6.801666259765625,7.951450134071089,134.5533905029297,89.51524353027344,116.73687744140625,63.95719909667969,1.4642199818137258
IMOEX,1,sNaive,8.609999656677246,10.640625,147.36427307128906,113.3143310546875,134.17031860351562,89.31258392333984,1.8535066348801652
IMOEX,1,CatBoost,7.661985799156206,8.537600506626134,101.62628544091517,100.83772425471591,188.74617365636797,101.55208541121026,1.649424167407489
IMOEX,1,LSTM_base,7.577698230743408,8.640969792086644,92.81969451904297,99.72843170166016,163.0426788330078,97.86773681640625,1.6312792692053295
IMOEX,1,LSTM_att,8.494126319885254,10.13712140939182,109.2239990234375,111.78934478759766,143.82740783691406,127.71996307373047,1.8285621508948375
IMOEX,1,Hybrid,7.809927463531494,8.918583839114397,95.00090789794922,102.78475189208984,166.10284423828125,107.2866439819336,1.681272119489828
IMOEX,2,RF,16.623572511765488,24.121119333627348,249.89415846185037,197.37100103246695,184.70129826252665,162.62527934984212,2.6626448618530545
